1Слоган “|Рукописи не горят|!” очень скоро сменился на рекламных растяжках слоганом “Хранить вечно”, и экранизация “В круге первом” (“Россия”) включилась в вынужденную конкуренцию с новой телеверсией “Золотого теленка” (Первый канал).
1≉ ≈■≉ ≈Можно <…> удивиться: с какой стати Ильф внес в записную книжку словосочетание с древним аористом, да еще без «ера» после согласного, – Внимах ужасам [118] – и допустить, что, возможно, это цитата из Некрасова, |Внимая ужасам войны… | тем более, что рядом 
1≉ ≈13) Здесь, вероятно, – контаминирующая цитата, отсылающая также к стихотворению Мандельштама “|Куда как страшно нам с тобой|…”:
1≉ ≈13) Здесь, вероятно, – контаминирующая цитата, отсылающая также к стихотворению Мандельштама “Куда как страшно нам с тобой…”: “|Хотел всю жизнь просвистеть скворцом, / Заесть ореховым пирогом|…” Очевидны отсылки к Мандельштаму и в следующем процитированном фрагменте (“Узловатых дней колена…” и пр.).≉ ≈14) Под псевдонимои А. Каломиров доклад был опубликован в самиздатском журнале “Северная почта” (1979. 
1≉ ≈Ибо вряд ли сбудется предчувствие Достоевского насчет того, что |красота спасет мир|.
1≉ ≈Не знаю, как Духаниной, а мне в связи с этим требованием вспоминаются бессмертные слова Пушкина: «|Толпа жадно читает исповеди, записки etc., потому что в подлости своей радуется унижению высокого, слабостям могущего|.
1≉ ≈Пример – аннотация на задней обложке «Ящика для письменных принадлежностей» в серии «Азбука-классика» (СПб., 2002): «|Открывая один за другим ящички, где хранится связка почтовых открыток, прядь волос, глиняная трубка, судовой журнал, мы попадаем в присущее хронотопу Павича дематериализованное пространство со множеством рукавов и лабиринтов|…» Автор аннотации неизвестен.
1≉ 17) Шутливый перифраз финальных строк из стихотворения В. Маяковского “Прозаседавшиеся” (1922): “Мечтой встречаю рассвет ранний: // “|О, хотя бы / еще / одно заседание / относительно искоренения всех заседаний|!”” ≉ 18) Статья А. Нуйкина “Идеалы или интересы?” печаталась с продолжением в первом и втором номерах журнала “Новый мир” за 1988 год; в 1990 году на основе статьи была издана книга А. Нуйкина с тем же названием.
1≉ В пятом номере московского альманаха “Муза” было напечатано стихотворение “|Легкой жизни я просил у Бога|…” с подзаголовком “Из Гафиза” среди стихов умершего в 1990 году поэта Юрия Эльтермана.
1┘└ |И, протискавшись в мир из-за дисков / Наобум размещенных светил, / За дрожащую руку артистку / На дебют роковой выводил; |– ┘«Мейерхольдам»); вечности, проникающей в повседневность …
11Когда Пушкин писал в «Памятнике», что он будет «|любезен народу|» тем,…
11Предельным случаем этого рассогласования двух типов социальных ролей (неслужащий гражданин - публичный интеллектуал └vs.┘ подданный императора - государственный служащий) можно считать позицию Николая Карамзина, которого радикально настроенная молодежь александровской эпохи (в том числе будущие декабристы) резко критиковала за консервативные взгляды, проявившиеся в монархической ориентированности “Истории государства Российского”:≉ ≉ “|Не мешаю другим мыслить иначе|.
132.≉ ≈ [7] Больше всего возмутило Александрова то, что на 45 страницах своего предисловия к венгерскому сборнику «Маркс и Энгельс об искусстве» Лукач ни словом не обмолвился ни о ленинском принципе партийности литературы, ни о новейших постановлениях ЦК ВКП(б) в области литературы и искусства, ни о «|маразме буржуазной культуры|», превосходство над которой советской культуры старый «путаник», «эклектик» и «космополит» Д. Лукач упорно отказывался признать (там же.
1503-504.≉ ≉ [32] В “Поле Бородина” на месте этой строчки была как раз более прозаизированная “|На пушки конница летала|”, дававшая богатую рифму к следующей - “Рука бойцов колоть устала”.
1503-504.≉ ≉ [32] В “Поле Бородина” на месте этой строчки была как раз более прозаизированная “На пушки конница летала”, дававшая богатую рифму к следующей - “|Рука бойцов колоть устала|”.
1А если выделить тему победной воинской мощи города, имеющую в финале одической части Вступления заметное доминирование, то “|воинственная живость потешных Марсовых полей|” — постоянно идущие маневры — в своей архетипической основе не что иное, как └ритуал┘, циклично поддерживающий статус “военной столицы”, “твердыни”.
1А Империи у него уже в эпиграфе к книге дано определение, которое словно вводит нас в ад петербургской истории: «|Чудище обло, озорно, огромно, стозевно и лаяй|».
1А Черное море — что оно, как не колониальная периферия Рима, та самая, о которой у Бродского: “|Если выпало в империи родиться, лучше жить в глухой провинции у моря|…”?
1А это с неизбежностью вытягивает за собой, в частности: “|Что в мой жестокий век восславил я Свободу|…”≉ Но допустим, что мы не правы, и предполагаемая связь отсутствует.
1Автор статьи пытается развенчать новый миф о Чернышевском – плохом эстетике и плохом писателе, но вместо этого конструирует “|противоположное общее место|”.
1Андрей Немзер трижды назвал писателя имитатором, изображающим “то страсть, то мысль”, попутно обвинив цюрихского затворника в “|любви к себе”, “нежному и удивительному|” (Время новостей, 2005, 10 июня, 22 июня, 12 августа).
1было бы довольно, чтобы поставить это стихотворение в один ряд с пушкинскими строчками: “|Беда стране, где раб и льстец одни приближены к престолу|…” 
1В качестве простого, но выразительного примера такого воздействия Скулачева привела известный всем с детства стишок Агнии Барто: «|Идет бычок, качается, вздыхает на ходу|».
1В противоположность поэзии тиранов Манчев называет такую поэзию “тиранической”, ибо (начиная от Уильяма Блейка и заканчивая “|Председателем Земного шара|” Велимиром Хлебниковым) она стремится утвердить во главе мирового порядка поэта (автор статьи цитирует в этой связи строки Блейка: “Я должен создать систему, или я стану рабом системы другого” (s. 343)).
1В таком случае «шумы в нижней части живота» и прочее предстают аллюзией на полнозвучную увертюру романа «Зависть»:≉ ≈■≉ ≈|Он поет по утрам в клозете| <…> Эти песни его, в которых нет ни мелодии, ни слов, а есть только одно «та-ра-ра», выкрикиваемое им на разные лады, можно толковать так:≉ ≈«Как мне приятно жить… та-ра!
1В этой традиции, известной нам теперь только из книг, было свое ужасное (домострой) и свое прекрасное (“|Есть женщины в русских селеньях|…”).
1Ведь искусство призвано взывать именно к чувствам…≉ ≈Более полутора веков назад Некрасов начал одно проникновенное стихотворение строками: “|Я не люблю иронии твоей|.
1вечности, проникающей в повседневность (└|Надо, чтоб елкою святочной / Вечность средь комнаты стала|┘; – «Зимние праздники») и другие, аналогичные.
1Вполне допускаю, что в «Идиоте» писатель, вольно или невольно, исполнял программу, объявленную на последней странице «Преступления и наказания»:≉ ≈«|Но тут уж начинается новая история, история постепенного обновления человека, история постепенного перерождения его, постепенного перехода из одного мира в другой, знакомства с новою, доселе совершенно неведомою действительностью.|
1Все они, включая Солженицына, – люди рынка, а выход из иллюзорного лабиринта подсказал лет 200 назад Александр Сергеевич Пушкин: «|Не продается вдохновенье, но можно рукопись продать|».
1Все эти предположения и прожекты, вне всякого сомнения, имеют “карамазовскую” подоплеку:≉ “|Не бога я не принимаю, Алеша, я только билет ему почтительнейше возвращаю.≉ - Это бунт, - тихо и потупившись проговорил Алеша|”.≉ Конечно, бунт.
1говорил о переводе так:≉ ≈ “|Переводить - значит служить двум господам.|
1Да все та же возможность инверсии ценностей, переворачивания всего и вся с ног на голову – и конечно, |пресловутая сфера материально-телесного низа|, к которой проявляет повышенный интерес современная литература.
1Да и при более детальном рассмотрении текст Достоевского оказывается тесно вписанным в литературный ряд того времени: тематически он восходит к “кладбищенским” рассказам В. Одоевского (к примеру, к новелле “Живой мертвец”, 1844), в смысловом плане - перекликается с тютчевским, вскользь оброненным, сожалением: “|Не плоть, а дух растлился в наши дни|” (“Наш век”, 1851).
1Да простят мне поклонники Николая Тихонова, которые, наверное, есть и сегодня, но ни в 1950-е, ни в 1970-е годы он уже не мог бы написать строку “|Мы разучились нищим подавать|”.
1Да, начало «Зависти» было, как сейчас любят говорить, «обречено» на сенсацию:≉ ≈■≉ ≈Когда Олеша произнес первую фразу повести: «|Он поет по утрам в клозете|», мне показалось, что редактор «Красной нови» слегка вздрогнул.
1Дело в том, что все предшествующие “памятники” никогда не имели физического воплощения и были исключительно символическими (напомним: “|Я памятник себе воздвиг нерукотворный”; “Я памятник себе воздвиг чудесный, вечный|…”; “Exegi monumentum aere perennius…”). 
1деревенская красавица глядит вослед мчащейся тройке и о чем-то мечтает, но на долю ей пало выйти за неряху-мужика, который будет ее бить, «|а свекровь в три погибели гнуть|», после чего от черной работы она в несколько лет сойдет в могилу («Тройка»); 
1Для эпиграмм не подходили традиционные папирусные свитки, а форма маленьких повседневных записных книжек замечательно соответствовала им: |налицо было единство формы и содержания|.
1Для этих строк уже предлагались вполне убедительные подтексты – такие, как концовка поэмы Маяковского “Облако в штанах” (“|Вселенная спит, / Положив на лапу / С клещами звезд огромное ухо|”), которая, в свою очередь, отсылает к стихотворению Лермонтова
1Евфросиния Керсновская, весьма критично относившаяся к лагерному фольклору, отметила, что особенно ей нравилась песня на стихи Пушкина “|Сижу за решеткой в темнице сырой|”, имевшая сочиненное заключенными окончание, - ответ узника орлу:
1Евфросиния Керсновская, весьма критично относившаяся к лагерному фольклору, отметила, что особенно ей нравилась песня на стихи Пушкина “|Сижу за решеткой в темнице сырой|”, имевшая сочиненное заключенными окончание, - ответ узника орлу:≉ ≉     Нельзя мне, товарищ, с тобой улететь!≉ Весь век суждено мне в тюрьме просидеть…≉ Закованы руки и ноги в цепях,≉ Нет света уж больше в потухших очах…[53]≉ ≉     Традиция устного рассказа сохранялась в местах заключения: свидетельства о лекциях в камерах относятся не только к началу 1930-х годов, но и к другим периодам репрессий. 
1Если б только могло быть (чего, впрочем, по человеческой натуре никогда быть не может), если б могло быть, чтоб каждый из нас описал всю свою подноготную, но так, чтоб не побоялся изложить <…> даже и то, в чем боится подчас признаться самому себе, - то ведь на свете поднялся бы тогда такой смрад, что нам бы всем надо было задохнуться <…> Есть особое сладострастие в этом внезапном срыве маски, в этом цинизме, с которым человек вдруг выказывается перед другим в таком виде, что даже не удостоивает и постыдиться перед ним.≉ ≈■≉ ≈В известном смысле Валковский может быть воспринят как предшественник Клиневича с его призывом “высказать все” - ассоциация, подкрепленная еще и тем, что последний напоминает Первоедову о встрече у Волоконских (по созвучию с Валковскими): “|Клиневич, у Волоконских встречались, куда вас, не знаю почему, тоже пускали|…” Да и при более детальном рассмотрении текст Достоевского
1Если б только могло быть (чего, впрочем, по человеческой натуре никогда быть не может), если б могло быть, чтоб каждый из нас описал всю свою подноготную, но так, чтоб не побоялся изложить <…> даже и то, в чем боится подчас признаться самому себе, - то ведь на свете поднялся бы тогда такой смрад, что нам бы всем надо было задохнуться <…> Есть особое сладострастие в этом внезапном срыве маски, в этом цинизме, с которым человек вдруг выказывается перед другим в таком виде, что даже не удостоивает и постыдиться перед ним.≉ ≈■≉ ≈В известном смысле Валковский может быть воспринят как предшественник Клиневича с его призывом “высказать все” - ассоциация, подкрепленная еще и тем, что последний напоминает Первоедову о встрече у Волоконских (по созвучию с Валковскими): “Клиневич, у Волоконских встречались, куда вас, не знаю почему, тоже пускали…” Да и при более детальном рассмотрении текст Достоевского оказывается тесно вписанным в литературный ряд того времени: тематически он восходит к “кладбищенским” рассказам В. Одоевского (к примеру, к новелле “Живой мертвец”, 1844), в смысловом плане - перекликается с тютчевским, вскользь оброненным, сожалением: “|Не плоть, а дух растлился в наши дни|” (“Наш век”, 1851). 
1Если к этой залихватской формуле присовокупить картину враз могущего наступить (“|в один бы день, └в один бы час┘ - все бы сразу устроилось|!” [25, 119]) всеобщего благоденствия из “Сна смешного человека” (“Дневник писателя”, апрель 1877), которая подозрительно и закономерно напоминает пятый сон Веры Павловны, останется с грустью констатировать, что, на каких бы идеологических опорах ни возводилась очередная утопия, она неизбежно предъявляет в качестве идеала мироустройства обезличенный муравейник - выхолощенное, кастрированное существование вместо многотрудной, сложной, но полноценной жизни.≉ 
1Если присутствует на следующей странице история о том, как в новогоднюю ночь телефонный хулиган спрашивал у Ахматовой: «|Ты жива еще, моя старушка|?», то по сноске читатель найдет не только ссылку на источник, но и историю противоположного свойства – донос образца 1948 года о том, что некая студенческая группа позволяет себе вслух говорить о том, что Ахматову напрасно подвергали критике.
1Еще яснее при тех же обстоятельствах выразился Бендер: «Слушайте, что я накропал вчера при колеблющемся свете электрической лампы: “|Я помню чудное мгновенье, передо мной явилась ты, как мимолетное виденье, как гений чистой красоты|”.
1Жуткое величие императорского Рима увидено у Бродского глазами скептического наблюдателя, в котором угадывается alter ego автора: изгнанника Овидия, старшего Плиния, укрывшегося в “|глухой провинции у моря|”, бродяги-грека, обманывающего стражу и ускользающего за границы империи.
1Здесь имеет место парадокс, русскоязычному читателю известный, скорее всего, не по философии, а по шутливому стихотворению Пушкина (““|Движенья нет”, - сказал мудрец брадатый|…”), а в философии перевода зафиксированный одним из инициаторов смены философско-гуманитарной парадигмы в конце 10-х - начале 20-х годов прошлого столетия - немецко-еврейским религиозным мыслителем (и переводчиком Библии) Францем Розенцвейгом, который в статье “Писание и Лютер” говорил о переводе так:
1Здесь имеет место парадокс, русскоязычному читателю известный, скорее всего, не по философии, а по шутливому стихотворению Пушкина (““|Движенья нет”, - сказал мудрец брадатый|…”), а в философии перевода зафиксированный одним из инициаторов смены философско-гуманитарной парадигмы в конце 10-х - начале 20-х годов прошлого столетия - немецко-еврейским религиозным мыслителем (и переводчиком Библии) Францем Розенцвейгом, который в статье “Писание и Лютер” говорил о переводе так:≉ ≈ “Переводить - значит служить двум господам. 
1И даже одного только первого двустишия, в котором отчаяние поэта отлилось в чеканную и емкую поэтическую формулу (“|Мы живем, под собою не чуя страны, / наши речи за десять шагов не слышны|…”), было бы довольно, чтобы поставить это стихотворение в один ряд с пушкинскими строчками
1и лермонтовским “|страна рабов, страна господ|”.≉ ≈По-разному можно относиться к этой мандельштамовской “эпиграмме”.
1и общий апокалиптический некроз истории   (“|полынный вкус поражения уже витал в воздухе, Политбюро дрогнуло, почувствовав дыхание смерти|”).≉ 
1Иван Шувалов имел самое непосредственное отношение к будущему стекольному производству Ломоносова – по собственному признанию, фаворит “|выпросил у Императрицы <…> деревушку|” для фабрики (Билярский 1865, 040)
1Из его стихов следует, как он думал о тех из них, кто остался жив (см. переписку Пушкина, “Послание”, “|И в мрачных пропастях земли|”).
1Известный суворовед А. Замостьянов начинает свою статью “Суворов и нравственность: солдат и богомолец” с цитаты из “Преступления и наказания”: ““|Тварь ли я дрожащая или право имею?|” - этот вопрос, поставленный однажды героем Достоевского, - замечает исследователь, - предваряет все споры о нравственных критериях неординарной личности, если угодно - таланта, гения” [1] .
1Каверина, Р. Гамзатова… Меня давно занимала некоторая нелогичность в знаменитом лозунге из романа Каверина “Два капитана”: “|Бороться и искать, найти и не сдаваться|” (если уже нашел, то почему после этого может еще возникнуть императив “не сдаваться”?).
1которая, в свою очередь, отсылает к стихотворению Лермонтова “|Выхожу один я на дорогу|…”.
1лирический герой сам себя за что-то там глубоко презирает («|Я за то глубоко презираю себя|»); тем временем где-то разрушается счастье влюбленных – «мужика-вахлака» и «дворянской дочери» («Огородник»); 
1Луначарский в книге “Революционные силуэты” (1923) писал, что гнев Ленина необыкновенно мил, как тютчевский гром, который “|как бы резвяся и играя, грохочет в небе голубом|”, хотя от грозы его в последнее время могли гибнуть десятки и сотни людей.
1Любовь осмысляется автором “Стихов о Прекрасной Даме” как абсолютный критерий, и потому естественным выглядит его стремление предложить “любовноцентричное” обоснование мироздания, опираясь на любовь как доминантную категорию, дать определение человека как своего рода Homo Amens: “|Только влюбленный имеет право на звание человека|” (Блок); 
1Между тем Белинский безошибочно определил современный смысл “Бородина”, сказав, что вся его “основная идея” выражена в словах “- |Да, были люди в наше время, / Не то, что нынешнее племя: / Богатыри - не вы|!” [33] .
1Может быть, сами того не зная, они пришли к мысли, высказанной еще Достоевским в его знаменитой “Пушкинской речи”: “|Стать настоящим русским, стать вполне русским, может быть, и значит только стать братом всех людей|”.
1Можно было бы сказать, что к мандельштамовскому сравнению каждый читатель мужского пола без заминок пришел бы, отправляясь от опыта обязательной рутины, но и этот опыт давно уже был увековечен литературным прецедентом — у того, кого Мандельштам называл “|самым лучшим и здоровым из всего нашего чтенья|” (“Шум времени”), — 
1Мы делаем это по той простой причине, что феномен рождения шедевров воспринимается как чудо и самими творцами:≉ ≉    |Когда б вы знали, из какого сора ≉ Растут стихи, не ведая стыда ≉ Как желтый одуванчик у забора, ≉ Как лопухи и лебеда.|≉ ≉   Да!
1наконец, лирический герой посещает места своего детства, «|где жизнь отцов моих, бесплодна и пуста, текла среди пиров, бессмысленного чванства, разврата грязного и мелкого тиранства|», 
1Не сразу и разберешься, что мысль, выраженная в этом пассаже, аналогична пушкинскому восклицанию в шестой главе “Онегина”: “|Вперед, вперед, моя исторья|!” ≉ ≈
1Но эта оппозиция “возвышенного” и “искусственного” находит полный аналог в противопоставлении “делания” и “сделанного” у Шкловского: “|Искусство есть способ пережить деланье вещи, а сделанное в искусстве не важно|” 52 .
1Однако можно рассматривать эти тексты и в рамках пародийной традиции, начатой еще в советские годы (вроде школьного: «|Однажды в студеную зимнюю пору/Сплотила навеки великая Русь…|» - и так далее, чередуя равно надоевшие всем учащимся стихи Некрасова и Михалкова).
1Одно из самых известных и характерных рассуждений Льюиса - об этических карманах, в которых здоровое представление о морали теряет силу: ≉ |Порою мы попадаем в карман, в тупик мира - в училище, в полк, в контору, где нравы очень дурны|.
1Он грозил народным бунтом, но не видел гибели империи, как увидел ее юный (16-летний) Лермонтов:≉ ≈■≉ ≈|Настанет год, России черный год,≉ ≈Когда царей корона упадет;≉ ≈Забудет чернь к ним прежнюю любовь,≉ ≈И пища многих будет смерть и кровь;≉ ≈Когда детей, когда невинных жен≉ ≈Низвергнутый не защитит закон|…≉ ≈@@@@@@@@@@@@@@@@@@@@@@@@@@@ («Предсказание», 1830.
1Он едва вышел, а на другом конце деревни уже знают, кто идет… Наш Епиходов еще и Бокля читает, да и зовут его “|двадцать два несчастья|”, да и сад продадут 22 августа, и Лопахин управляющим его оставит.
1Он повторит ее, переиначив применительно к раздумьям о посмертной судьбе своей поэзии, и в прощальных стихах:≉ ■≉ |Предназначенное расставанье≉ Обещает встречу впереди|.≉ ■≉ Прочел всемирный путешественник и самую громкую из правдинских публикаций Троцкого “Формальная школа поэзии и марксизм” (20 июня 1923).
1Они в свою очередь также подвергались критическим нападкам, защищались, однотипные вопросы публики: “ |кто ты такой, чтобы судить других|”, 
1Они в свою очередь также подвергались критическим нападкам, защищались, однотипные вопросы публики: “кто ты такой, чтобы судить других”, “|не лучше ль на себя, кума, оборотиться|” – требовали развернутых ответов со ссылками на Гегеля, Белинского и Писарева. 
1Описывая страдания человека, не верящего в загробную жизнь и потому лишенного утешения и надежды, он впервые признается: «|Ум ищет божества, а сердце не находит|».
1ответ узника орлу:≉ ≉     |Нельзя мне, товарищ, с тобой улететь!≉ Весь век суждено мне в тюрьме просидеть…≉ Закованы руки и ноги в цепях,≉ Нет света уж больше в потухших очах…|[53]≉ ≉     Традиция устного рассказа сохранялась в местах заключения: свидетельства о лекциях в камерах относятся не только к началу 1930-х годов, но и к другим периодам репрессий.
1очевидным подтекстом которой служит стих Апокалипсиса (“|Я есмь Альфа и Омега, начало и конец|” (1:8)), следует резко противопоставленное монументально-мемориальной традиции
1Плач по убитому герою всегда происходит над его телом, в данном случае, над воображаемыми “кровавыми ранами” Игоря (“|утру князю кровавыя его раны|”);≉ ≈-наконец, └славное бегство и всеобщая радость┘.
1По крайней мере, его следы имеются в романе И. Ильфа и Е. Петрова “Двенадцать стульев” (в главе “|Общежитие имени монаха Бертольда Шварца|”), а именно реплика Остапа Бендера в диалоге: “– Вы разве медик?
1После торжественной первой строки: └|Во мне конец, во мне начало|┘, - очевидным подтекстом которой служит стих Апокалипсиса 
1Поставленное под рифму слово “Ленинград” в 4-ст. хорее с парной рифмовкой, разумеется, отсылает к хрестоматийным строкам Маршака: “|А с платформы говорят: / Это город Ленинград|” (“Вот какой рассеянный!”).
1при этом будет он, «|чиновник с виду и подлец душой|», «стоять за добро» и гнуть спину перед начальством («Колыбельная песня»); 
1Пройдет время, и мы уйдем навеки, нас забудут…┘” - спустя всего несколько минут после смерти Тузенбаха, Чебутыкин напевает: “└|Тара… ра…бумбия…сижу на тумбе я…|┘” - мудрый авторский контрапункт.≉ ≈С первых строк! 
1развитие темы Баратынского (└|Мой дар убог, и голос мой негромок, А я, владеющий убогим дарованьем…|┘; ср.
1Речь в докладе шла о совпадении эпиграфа к знаменитой статье итальянского историка Карло Гинзбурга «Приметы» (1979) («Бог – в деталях») с «|всесильным богом деталей|» из стихотворения Пастернака «Давай ронять слова…».
1С большим интересом прочитал в январском-февральском номере вашего журнала за 2008 год статью Л. Максименкова ““|Не надо заводить архива, Над рукописями трястись|” [?]”.
1Свой, укорененный, обрусевший (как писал И. Тургенев в одной из лучших русских эпиграмм – на переводчика Шекспира: “|Перепер он нам Шекспира / На язык родных осин|”).
1следует резко противопоставленное монументально-мемориальной традиции └|Мной совершенное так мало| - ┘развитие темы Баратынского 
1следующем процитированном фрагменте (“|Узловатых дней колена|…” и пр.).≉ ≈14) Под псевдонимои А. Каломиров доклад был опубликован в самиздатском журнале “Северная почта” (1979.
1спустя всего несколько минут после смерти Тузенбаха, Чебутыкин напевает: “└|Тара… ра…бумбия…сижу на тумбе я…|┘” - мудрый авторский контрапункт.≉ ≈С первых строк!
1Такого же мнения придерживаются и «представители» народной совести – инок Пимен и Юродивый, говорящий в лицо Борису: «|Нельзя молиться за царя Ирода|».
1Там он видит, как царям в зеркале Истины показывают их сущность – страшную, в образе чудовища, которое «|обло (тучно), озорно, огромно, с тризевной и лаяй|».
1тем что «|чувства добрые»■ «лирой пробуждал», «восславил» «свободу» и «милость к падшим призывал|», это вовсе не значило, что он сознательно ставил перед собой такие задачи.
1Тут уж я в большом изумлении написала: ““Стансы”, 1826 год, обращено к Николаю I, первые строки: “|В надежде славы и добра / Гляжу вперед я без боязни|…”” 
1Тынянов считает, что весь сюжет повести, все ее развитие целиком определяются масками, то есть игрой различия: “|Проекция несходства словесных масок в сюжет дает ссору Ивана Ивановича с Иваном Никифоровичем; проекция сходства их — равенство их на фоне “скучной жизни|””[67].
1у Марка Твена в рассказе “О парикмахерах”:≉ ≈|Затем он начал меня брить, вдавливая мне пальцы в лицо, чтобы растянуть кожу, поворачивая и вертя мою голову то в одну сторону, то в другую, и все время весело поплевывая|.
1Фантастический персонаж, к которому автор отправляет за защитой дорогих его сердцу героев, постепенно обретает его собственные черты.≉ ≈Одна из таких незначительных, но узнаваемых примет - разговор об |осетрине «второй свежести|».
