13 (В. Кожемяко).≉ ≈|Если звезды зажигают, значит, это кому-нибудь| нужно // МП.
1Она широко применяется в СССР».≉ ≈ 29 «|Мы диалектику учили не по Гегелю|», – сказал Маяковский.
1Они берут друг у друга уроки, перевоплощаются, взаимно хранят память: ≉  ≈Кукушка плачет за речной излукой,≉ ≈в ветвях таится соловьиный Блок.≉ ≈Вот Гоголь спит, держа в руках уду,≉ ≈Ахматова ныряет хищной щукой,≉ ≈и птица Сирин правит ветра слог.≉  Здесь Заболоцкий выступает даже не аналогией, а ис- точником аллюзий (хотя бы вот это знаменитое: “|…И птицы Хлебникова пели у воды / И встретил камень я, был камень неподвижен, / И проступал в нем лик Сковороды|”).≉ При разнообразной населенности природного мира у Кековой едва ли не любимые ее персонажи – рыбы и птицы.
1Они в свою очередь также подвергались критическим нападкам, защищались, однотипные вопросы публики: “кто ты такой, чтобы судить других”, “|не лучше ль на себя, кума, оборотиться|” – требовали развернутых ответов со ссылками на Гегеля, Белинского и Писарева.
1Они поняли мудрость «|не верь, не бойся, не проси|», родившуюся давно и там, где госсоциализм выступал в своем самом концентрированном виде.
1Оно – и в поздней оглядке на старые стихи: “|Я говорю: еще не вечер|, / Но все же вечер за спиной, / И жизнь давно легла на плечи / Тебе и мне.
1Оно тотально, укоренено в природе мира, существует как некая безликая данность, вне выбора человека, люди обречены на одиночество, |человек не может быть не| одиноким.
1Описывая страдания человека, не верящего в загробную жизнь и потому лишенного утешения и надежды, он впервые признается: «|Ум ищет божества, а сердце не находит|».
1Оправдан трюк Васильевых и в моих глазах, ибо, когда бы не находчивость перемонтажеров, цензура так бы и не выпустила «Сироток бури» в советский прокат, и мир никогда бы не услышал запоминающегося диалога в самом начале пьесы Маяковского «Клоп»:≉ ≈■≉ ≈«|Р а з н о с ч и ц а @г а л а н т е р е и≉ ≈Бюстгальтеры на меху,≉ ≈бюстгальтеры на меху|!≉ ≈■≉ ≈Вхoдят П р и с ы п к и н, Р о з а л и я П а в л о в н а, Б а я н.≉ ≈■≉ ≈Р а з н о с ч и ц а≉ ≈Бюcтгaльтеpы…≉ ≈■≉ ≈П р и с ы п к и н (восторженно) ≉ ≈Какие аристократические чепчики!≉ ≈■≉ ≈Р о з а л и я П а в л о в н а≉ ≈Какие же это чепчики, это же…≉ ≈■≉ ≈П р и с ы п к и н≉ ≈Что ж я без глаз, что ли?
1Опыт Тынянова, в свое время втиснувшего в бедную историю Башмачкина не только “|Невский проспект”, но также Ивана Ивановича с Иваном Никифоровичем|, послужил для него ближайшим образцом.
1Особенно запомнился его подход к одному фрагменту в дневниковых записках Чехова: «Между “|есть Бог” и “нет Бога” лежит целое громадное поле, которое проходит с большим трудом истинный мудрец|.
1Особенно остро проявилось это в осмыслении ими двух| сюжетов.≉ ≈* * *≉ ≈«Пушкин — в роли Командора?|» — эта «роль» в цветаевском перечислении поставлена в один ряд с «ролями» «мавзолея», «пулемета», «гробокопа» и, очевидно, воспринимается ею как столь же чуждая пушкинской сути, как нечто из мира «мертвечины», противоположного горячему, «скалозубому», «нагловзорому» «африканскому самоволу».≉ ≈Совсем по-иному прочитала этот образ в пушкинском «Каменном госте» Анна Ахматова… Одна из болевых тем ее пушкинианы: «Мне кажется, мы еще в одном очень виноваты перед Пушкиным.
1Особенно остро стоит вопрос о| том, по какому “случаю|” исполнялась эротическая поэзия.
1Оставался вариант ранних «Стансов»: «|Ни страны, ни погоста / Не хочу выбирать|.
1Оставался вариант ранних «Стансов»: «|Ни страны, ни погоста / Не хочу выбирать|.
1Остается выбор между| нынешним «тащить и не пущать|», к тому же - все равно неэффективным, и сознательным допущением дискриминационных норм иммиграции, и автор прозрачно намекает, что второе предпочтительнее:≉ ≈Надо определяться, что нам более интересно: судьба закордонных русских и собственная национально-культурная идентичность или светлые горизонты политкорректности.≉ ≈Непонятно, осознает ли Соколов, какую коллизию породила бы реализация его предложения.
1Остается только сокрушенно повторить строки, предпосланные В. Авербухом переводу «|Книги образов»:≉ ≈■≉ ≈@@@@@@@@@@@@@@@@@@@@ Но вот ≉ ≈@неточный, слабый перевод,≉ ≈@с живой картины список бледный≉ ≈@или разыгранный Фрейшиц≉ ≈└@┘перстами робких учениц|.
1От себя добавлю, что такова же в этом романе и роль “|слога”, вообще слова как такового|.
1От ужаса, а может, и от омерзения к ней, да и то еще хорошо, что сторонятся, |а пожалуй, возьмут да и перестанут сторониться, и станут твердою стеной перед стремящимся видением, и сами остановят сумасшедшую скачку нашей разнузданности, в видах спасения себя, просвещения и цивилизации!|”.
1Открывая ее, автор цитирует Пушкина: “|Следовать за мыслями великого человека есть наука самая занимательная|”.
1Отметим также, что в «|Новых путях слова» Крученых почти повторил первоначальное определение, назвав «Дыр бул щыл|» «произвольным словотворчеством (чистый неологизм)» (Там же.
1Отсылка к Пушкину – “|Ты сам свой высший суд|” – сбивающий со следа, но все же след.
1Отсылки| к «неслыханным переменам, невиданным мятежам|», начавшимся в 1905 году и закончившимся вместе с существованием Российской империи, уже довольно давно (и еще до конца советской власти) перестали быть как содержательной точкой отсчета, так и подлинным, а не декларативным основанием легитимности для любого из сколь-либо значимых политических и интеллектуальных течений.
1Отсюда же – с поправками на религиозную специфику Александровского времени – и первый гимн Российской империи: «|Коль славен наш Господь в Сионе|…» ≉ ≈В николаевскую эпоху с ее триединым культом – «православие, самодержавие, народность» – эта соотнесенность получает уже крайне утрированные очертания.
1П. Керн», «Мадона», «Странник», «Ангел», «|Жил на свете рыцарь бедный…|» и др., открывают прекрасное, идеальное и, возвышая душу, приближают к Богу.
1Париж, 1960), |статей о жизни и творчестве И|.
1Пастернака “|Гефсиманский сад” – последнего в сборнике стихотворений Юрия Живаго: ≉   ≈Я в гроб сойду и в третий день восстану,≉ ≈И, как сплавляют по реке плоты, ≉ ≈Ко мне на суд, как баржи каравана,≉ ≈Столетья поплывут из темноты|.
1Первое многострочное сочинение (стихотворение) в русской поэзии, от начала и до конца написанное в палиндромной форме вообще и в форме “буквенного” палиндрома в частности, вышло из-под пера В. Хлебникова и опубликовано в сборнике “Садок судей II” (1913), затем повторено в “Изборнике стихов” (1914), откуда и воспроизводится (обычно в антологиях и подборках “|Перевертень” публикуется в современной орфографии):≉ Перевертень≉ (Кукси, кум мукъ и скукъ)≉ ≈Кони, топотъ, инокъ				(1)≉ ≈Но не речь, а черенъ онъ	         (2|)≉ ≈Идем молодъ, доломъ меди			(3)≉ ≈Чин званъ мечемъ навзничь.
1Переводчик выступает сплошь и рядом в роли иллюзиониста и даже более того, поскольку в цирке очарованный зритель все-таки видит объекты, с которыми производятся манипуляции, у него есть, хотя и урезанная, |информация к размышлению|.
1Перед лицом «рунетовских» комментариев, «|как сон, как утренний туман|», рассеялся либеральный миф о неразрывной связи, об интимном «родстве» частной собственности и демократии, равно как образованности и демократических убеждений [16] .
1Перед лицом таких обязательств сам Некрасов, как известно, сформулирует свое литературное кредо: “|Поэтом можешь ты не быть, но гражданином быть обязан|”.
1Перед| нами очень своевременная книга.≉ ≈И в самом деле, российское общество, привычно отвергающее коммунизм, но все более остро страдающее детской болезнью левизны, нуждается в культурно-политической азбуке, освоив которую можно будет научиться отличать “Ситуационистский интернационал|” от сюрреалистов, а байкеров от гопников.≉ ≈Персонажи и образы радикальной культуры Запада предстают перед нами во всем своем многообразии и оказываются в едином ряду с отечественными митьками, соц-артом и самиздатом.
1Перефразируя известный пушкинский диктум: “|Не продается вдохновенье, но можно рукопись продать…|”, — скажем, что, за неимением “рукописи”, товаром в лубке было собственно “вдохновенье”, которое точнее было бы назвать симуляцией, ярмарочным надувательством, балаганным розыгрышем, “игрой в игру”.
1Перцов усмотрел в упоминании безносой статуи реминисценцию из пушкинского стихотворения “|В начале жизни школу помню я…|”) до мемуарных (Н.В.
1Песня общеизвестна, потому напомним только ее припев:≉ ┘ └≈|Каждый пишет, как он слышит.≉ ≈Каждый слышит, как он дышит|.≉ ≈Как он дышит, так и пишет,≉ ≈не стараясь угодить…≉ ┘ └≈Нам всем (и автору этой статьи в том числе) всегда казалось, что эти строки не могут не иметь претекста.
1Петербург| и “Петербургский текст русской литературы” // └Топоров В.Н.┘ Петербургский текст русской литературы|: Избранные труды.
1Петербург| и петербургский текст русской литературы // Семиотика города и городской культуры|: Петербург.
1Петра в живых тогда уже не было, но принцип Медного всадника находился в зените.≉ С фразой “Прошло сто лет”, которая содержит в себе └фигуру умолчания о самом процессе┘ созидания и страшной цене возведения “полночных стран красы и дива”, соотносится в поэтике текста фраза из второй части: “|На высоте, уздой железной / Россию поднял на дыбы|”8■.
1Пешком, по размытым дорогам, в стоградусные холода, Без всяких коней и триумфов, без всяких там кликов… пешком, Но только наверное знать бы, что вовремя мы добредем.≉  У Адамовича:≉  ≈|Когда мы в Россию вернемся… о, Гамлет восточный, когда|?
1Письмо проливает свет на загадочную персону, которая, как было уже указано, с самого начала возникновения литературы о ПСМ упоминалась там как “|лицо секретное и фигуры не имеющее|”.
1Письмо Татьяны Онегину показывает, что та сознает свое предназначение: |быть верной супругой и добродетельной матерью|.
1Плач по убитому герою всегда происходит над его телом, в данном случае, над воображаемыми “кровавыми ранами” Игоря (“|утру князю кровавыя его раны|”);≉ ≈-наконец, └славное бегство и всеобщая радость┘.
1Пленков предоставляет в распоряжение читателя громадный конкретный материал, «|информацию к размышлению|», итоги которого могут, конечно, совпадать с выводами автора.
1Плещеева (1825–1893) “|Легенда”: ≉ Был у Христа-младенца сад, ≉ И много роз взрастил он в нем|; ≉ Он трижды в день их поливал, ≉ Чтоб сплесть венок себе потом.
1По каждой из этих тем Демин в своей работе идет глубже многих своих предшественников, одновременно рассматривая эти вопросы в контексте общей биографии писателя – представителя поколения, о котором его друг и ровесник Александр Блок сказал: “|Мы – дети страшных лет России|”.
1По контрасту Чулков вспоминал о его предыдущей, социал-демократической фазе, |запечатленной в «очень своевременной книге|», по выражению Ленина – повести «Мать» (1906) (впоследствии почему-то «повышенной» в роман), – вспоминал без всякого сожаления.
1По крайней мере, его следы имеются в романе И. Ильфа и Е. Петрова “Двенадцать стульев” (в главе “|Общежитие имени монаха Бертольда Шварца|”), а именно реплика Остапа Бендера в диалоге: “– Вы разве медик?
1По мнению Г. Левинтона, комментатором “скорее движет идея “|ай да Пушкин, ай да сукин сын|!””.≉ ≈А.
1По прямому указанию Сталина развертывается не знающее пощады наступление на "безыдейность", "мелкотемье", "преклонение перед Западом", "антигражданственность", "отход от реальности", "искажение советской действительности", "нездоровый интерес" к интимной сфере и т. д. и т. п. Жданов выступает с докладом, в котором громит Зощенко, Ахматову, а заодно и всех, кто попался под руку, вроде Хазина, написавшего сатиру по мотивам "Евгения Онегина".≉ ≈В том же году издается постановление ЦК ВКП(б) "|О журналах "Звезда" и "Ленинград|"", изданиях, которые признаются прибежищем всех только что обозначенных грехов.
1По этим волнам “|корабль одинокий несется, / Несется на всех парусах|”.
1По-видимому, тогда же, в первой половине августа 1828 г., он начинает работу над стихотворением “|Предчувствие”:≉ ≈Снова тучи надо мною≉ ≈Собралися в тишине;≉ ≈Рок завистливый бедою≉ ≈Угрожает снова мне…≉ ≈В начале августа его приглашают к петербургскому генерал-губернатору и предлагают письменно ответить на вопросы, в том числе: “Вами ли писана поэма, известная под названием Гавриилиада|?” – “Не мною”, – отвечал Пушкин и указал далее, что увидел ее впервые в лицее в 1815 или 18 1 6 г., тогда же переписал, но потом затерял список 3 .≉ ≈Пушкин, без сомнения, представлял себе, что допросы этим не ограничатся и что следствие станет доискиваться, как поэма попала в лицей и кого считают ее автором.
1По-прежнему он предстает жертвой “рока прихоти слепой”, но также и “вероломства” (параллель в “Воздушном корабле”: “|И маршалы зова не слышат: / Иные погибли в бою, / Другие ему изменили / И продали шпагу свою|”, - как и вообще безответность призывов императора).≉ Обреченность Наполеона, скоротечность его славной истории (“Родился он игрой судьбы случайной, / И пролетел как буря мимо нас”) объясняются тем, что “он миру чужд был” и “все в нем было тайной”, но величие его сомнению не подвергается: “Погиб как жил - без предков и потомства - / Хоть побежденный, но герой!” В 1840 году эта тема побежденного, но сохранившего все свое достоинство героя найдет воплощение в “Пленном рыцаре”.≉ После “Св.
1по: └|Вайль П., Генис А.┘ 60-е|.
1по: └|Цимбаев Н. И.┘ «Под бременем познанья и сомненья|…» (Идейные искания 1830-х годов) // Русское общество 30-х годов XIX в.
1Повествовательные главки изредка перебиваются стихотворениями из цикла “|Аукцион иудаики” (пять рифмованных, одно – верлибр) и краткими, как их называет автор, молитвами, также написанными верлибром.≉ ≈Как известно, между романом просто и романом в стихах – └дьявольская разница|.┘ Если хотя бы приблизительное представление о прозаическом произведении можно составить по сжатому пересказу, то поэзия – вся в словесной ткани, в фактуре.
1Повесть о том, |как поссорился Иван Иванович с Иваном Никифоровичем| ≉ ┘ ≉ 1 ≉     Можно ли найти другую тему для разговоров, столь же удручающе тривиальную, сколь и неизменно актуальную, как тема погоды?
1Поговорили о том, что “|талантам надо помогать, бездарности пробьются сами|”, разработали программу действий: известные писатели и редакторы журналов разъехались по 20-ти разным российским городам и весям для творческих встреч с читателями, в поисках новых писательских имен и рукописей (так было и в последующие годы).
1Подобным сном хотел бы заснуть и лирический герой Лермонтова в стихотворении “|Выхожу один я на дорогу|…” (1841).≉ Император мечтает повернуть вспять историю, ему не хватает как будто только появления “любезного сына”, которому он “обещает полмира, / А Францию только себе” (обещает себе Францию - типично лермонтовская небрежность, как и “в равнине”), хотя у него нет никаких средств вернуть ни то, ни другое.
1Подпольный – по ту сторону добра и зла, по ту сторону противоположностей, он утверждает одно, чтобы тут же утвердить другое, ему противоположное, |он крутится как белка в колесе|, чтобы… быть на уровне абсолюта, который представляет собой тождество противоположностей.
1Подросток, с “рукописным чемоданом” бредущий по ночным переулкам Ташкента, где отнюдь не экзотиче- ская встреча с грабителем весьма вероятна, — без этого “|архивного юноши” новейших времен история той литературы, которую он впоследствии будет преподавать, была бы не- полной3■.≉ ≉  ≈Счастлив, кто посетил сей мир≉ ≈В его минуты роковые!≉ ≈Его призвали всеблагие≉ ≈Как собеседника на пир.≉  ≉ Между тех “всеблагих|”, собеседником которых окажется Бабаев, главное место занимает Анна Андреевна Ахматова.
1Подчеркивается в рассказе ставший общим местом| в «Петербургском тексте русской литературы|» и особенно памятный читателю «Петербурга» А. Белого └серый денек┘ («серый – финляндский – поозерный денек» ).
1Пожалуй, лучшей иллюстрацией к этим словам будут такие пушкинские строчки:≉ ≉ |Два чувства дивно близки нам -≉ В них обретает сердце пищу -≉ Любовь к родному пепелищу,≉ Любовь к отеческим гробам.≉ ≉ Животворящая святыня!≉ Земля была б> без них мертва,≉ Как 	пустыня≉ И как алтарь без божества.≉ ≉ (Может быть, стоит привести и вариант второй строфы:≉ ≉ На них основано от века≉ По воле Бога самого≉ Самостоянье человека≉ Залог величия его|.
1Поймет и почему я заканчиваю статью на пессимистической ноте.≉ Некогда А. Чичерин вспоминал о том, что в его юности пушкинские “Стихи, сочиненные ночью во время бессонницы”, о “|ночном шепоте”, в который вслушивался поэт, заканчивались совсем не так, как они заканчиваются в теперешних изданиях.≉ В нынешних: ≉ ≉ ≈Я понять тебя хочу,≉ ≈Смысла я в тебе ищу…≉ ≉ А в тех, на которых формировался Чичерин, последней строчкой было: “Темный твой язык учу|”.
1Поливанов ┘задался вопросом о| том, а был ли мальчик, то есть утонувший студент, в реальности или же все сводится к литературным подтекстам, но признал, что на этот вопрос невозможно ответить ни положительно, ни отрицательно, после чего отправился делать свой собственный доклад, тема которого формулировалась следующим образом: └“О поэтической “глухоте|” в “Определении поэзии” Пастернака”.
1Полностью эта надпись звучит так:≉ ≈“|Победителю-ученику от побежденного учителя в тот высокоторжественный день|, в который он окончил свою поэму Руслан и Людмила.
1Поменяв романистику на публицистику, Толстая вновь акцентирует собственную особость на общем фоне коллег по литературному цеху, напоминая и критикам, и читателям, что “|поэт в России - больше, чем поэт|”, и переключаясь на осмысление “актуальной” проблематики.
1Помнишь, Пушкин: «|поэзия, прости Господи, должна быть немножко@ г л у п о в■а т а|» 1 .
1Помню, что он стоя читал стихи и, закончив их, заговорил о том, |что никто из нас здесь – в России – не мог любить Россию так, как любили они Россию там|… <…> [А.
1Попробуем на секунду вообразить человека, который вздумал в основу жизни положить принцип: “|И быть живым, живым и только, живым и только – до конца|”.
1После торжественной первой строки: └Во мне конец, во мне начало┘, - очевидным подтекстом которой служит стих Апокалипсиса (“|Я есмь Альфа и Омега, начало и конец” (1:8)), следует резко противопоставленное монументально-мемориальной традиции └Мной совершенное так мало - ┘развитие темы Баратынского (└Мой дар убог, и голос мой негромок, А я, владеющий убогим дарованьем…|┘; ср.
1После этого в издательстве «|ОГИ» вышла книга победителей конкурса, которая так и называется - «Так начинают жить стихом|…».≉ ≈@@@@@@@@@@@@@@@ Лидеры младшего поколения русской поэзии, заявившего о себе в 1990-е годы ушедшего столетия, давно стали полноправными участниками Биеннале поэтов.
1После этого звучит умудренная опытом, полная внутренней силы жизненная литания Бродского, заканчивающаяся почти псалмической интонацией: "|Но пока мне рот не забили глиной, / из него раздаваться будет лишь благодарность|".≉ ≈Бродский испытывал благодарность не только по отношению к жизни (о Творце, при всей способности Бродского к псалмической интонации, - ни слова), но и к предшественникам и образцам.
1Последний куплет, как и в “|Улице Мира”, имеет особенно выраженный сказочно-фантастический характер:≉ ■≉    Как дальний наш друг неназванный ≉ Из сказок и звездных снов,≉ Взывает к братьям по разуму≉ Разум иных миров|.≉ ■≉    Эти строки – вершина отказа от национального дискурса.
1Поставленное под рифму слово “Ленинград” в 4-ст. хорее с парной рифмовкой, разумеется, отсылает к хрестоматийным строкам Маршака: “|А с платформы говорят: / Это город Ленинград|” (“Вот какой рассеянный!”).
1Потенциал приспособления Конституции 1978 года к новым политическим реалиям был исчерпан задолго до того, как она была бесцеремонно сброшена в отвал.≉ ≈■≉ ≈ «|НЗ»: Критикуя нынешнюю Конституцию, полезно задаться вопросом: а была ли у России начала 1990-х годов альтернатива той монархической|, по сути, конфигурации власти, которую она закрепила?
1Потому и относился к марксизму не как к набору идеологических заклинаний, готовых формул и рецептов, годящихся на все случаи жизни (коим он тогда уже становился в словах и делах тех, кто “|диалектику учили не по Гегелю|”), а как к методологии, которая может быть весьма продуктивной для научной психологии.
1Потому что, как хорошо известно, - я скажу общую вещь, но, тем не менее, в этой ситуации должно ее сказать - только зная прошлое, можно быть уверенным в том, что мы правильно выстраиваем свое будущее”[7].≉ ■≉ Что называется, не поспоришь…≉ ■≉ МКАД как наш └Sonderweg≉ ┘ ■≉           |Какой русский не любит быстрой езды|.≉ Николай Гоголь.
1Потому, возможно, что мысленно объединял эту стихотворную повесть с прозаическими “Повестями Белкина”, для которых не зря выбрал эпиграф из “Недоросля” - реплику Простаковой и вторящего сестре Скотинина: ““|То, мой батюшка, он еще сызмала к историям охотник|”.
1Почему в “|Доме с мезонином” если не во всем, то очень во многом права Лида, которая много трудится и приносит людям реальную пользу, а в душе художника в минуты тоски звучит: “Мисюсь, где ты?|”, хотя Мисюсь умела только очаровательно бездельничать?
1Поэтесса не ждет ничего хорошего от этого переворота:≉ ≈■≉ ≈|И скоро в старый хлев ты будешь загнан палкой, ≉ ≈Народ, не уважающий святынь, – ≉ ≈■≉ ≈с болью пророчествует она|” 40■ .
1Поэтому “|кто в лес, кто по дрова|”, тем более что толком заработать мало у кого получается.
1Поэтому и видится Маяковскому в конце поэмы «Про это»: «|рассиявшись, высится веками мастерская человечьих воскрешений|», в которой будущий химик воскрешает самого Маяковского.
1Поэтому мечта о «покое и воле» и о бегстве «|в заоблачную келью, / В соседство Бога|» выражала не стремление Пушкина, говоря словами Гершензона, к «полноте», а была следствием его глубокой усталости, страха перед старостью и «окаменением» 39■ .
1Поэтому наряду с собственными мыслями| о жизни и творчестве     И. Мележа Адамович широко пользовался высказываниями о нем известных, близких и Мележу, и автору альбома людей: сестры и жены Мележа, писателей Василя Витки, Веры Полторан, Янки Брыля, Василя Быкова, Нила Гилевича, Алены Василевич, Олева Йыги|.≉ Работу над альбомом о Быкове Алесь Михайлович начал встречами с Василем Владимировичем.
1Прав был Розанов, когда назвал цикл очерков, написанный им незадолго до смерти, “|Апокалипсисом нашего времени”:≉ └ LA DIVINA COMEDIA [42] ≉ ┘ ≈С лязгом, скрипом, визгом опускается над Русскою Историею железный занавес.≉ ≈Представление окончилось.≉ ≈Публика встала.≉ ≈- Пора надевать шубы и возвращаться домой.≉ ≈Оглянулись.≉ ≈Но ни шуб, ни домов не оказалось|.≉ ≈■≉ ≈Для тех, чьи корни остались в той истории, в той стране, кто был связан с ней духовно, эмоционально и интеллектуально, Октябрь и его последствия действительно стали апокалипсисом.
1Правда, там же он замечает, |что «крестьянин в законе мертв|».
1Правда, уже в “Цыганах” “птичка божья” строго соответствовала тому же клише: “|Солнце красное взойдет: / Птичка гласу бога внемлет, / Встрепенется и поет|”.
1Правда, это было уже другое время, до которого Маяковский, — к счастью для него, — не дожил.≉ ≈* * *≉ ≈ Из стихотворных строк о времени, помимо известных строк Маяковского — и тех, что я только что процитировал, и той, что я поставил эпиграфом к этой статье, и знаменитого его обращения к «|товарищам потомкам», которым он хотел сам рассказать «о времени и о себе|», — едва ли не такими же расхожими стали строки другого поэта:≉ ≈■≉ ≈ Время?
1Правильно:≉ ≈|И чтоб с горем в пиру≉ ≈Быть с веселым лицом|…≉ ≈15≉ ≈В.
1Правильно:≉ ≈|И чтоб с горем в пиру≉ ≈Быть с веселым лицом|…≉ ≈15≉ ≈В.
1Предзнаменования- это своего рода аналог мотива героического выбора, сопутствующего выезду героя на битву: “|Луце ж бы потяту быти, неже полонену быти|”;≉ ≈-сначала └победа в битве и богатая добыча ┘(добыча, как известно, главное материальное выражение чести и славы героя);≉ ≈-затем └поражение и погибель войска, как следствие горделивой “ошибки” героя┘.
1Предлагаем читателям самим провести сравнение, благо цитата невелика (мы насчитали пять отличий).≉ У Нусиновой:≉  ≈|Когда мы в Россию вернемся, о Гамлет восточный, когда|?
1Предпринимавшиеся попытки – все – с негодными средствами…≉ ≉ └ – |“…Искать по свету, где оскорбленному есть чувству уголок|”.
1Предпринимая попытку “|вживания” в прошлое, Паньков напоминает, что члены Ученого совета ИМЛИ собрались на защиту диссертации Бахтина вскоре после постановления ЦК о журналах “Звезда” и “Ленинград|”, а также знаменитого доклада А. Жданова: “…они видят, как начинает разворачиваться очередная зловещая кампания, они чувствуют себя напряженно…” (с.
1Прежде всего отметим, что, |как и «Дыр бул щыл|», два остальных стихотворения состоят из пяти строк и насчитывают 21 и 18 слогов, что также сближает их с японской поэзией.
1При различении этих терминов метонимией считается перенос наименования по смежности (“вкусное блюдо”; “|В лесу раздавался топор дровосека|” – Н.А.
1При этом └гений┘ фигурирует в двух значениях, первое из которых (в монологе Сальери) указывает на гения как на некую внеперсональную творящую силу:≉ ≉ ≈|Где ж правота, когда священный дар,≉ ≈Когда бессмертный └гений┘ – не в награду ≉ ≈Любви горящей, самоотверженья,≉ ≈Трудов, усердия, молений послан –≉ ≈А озаряет голову безумца,≉ ≈Гуляки праздного|?..≉ ≉ Здесь, как и в монологе Барона, гений – есть нечто └получаемое взамен┘, как вознаграждение за самоограничение и аскезу.
